order_id,user_id,order_date,revenue
2001,1,2024-01-07,120
2002,2,2024-01-08,200
2003,4,2024-01-10,150
2004,6,2024-01-09,300
2005,9,2024-01-11,180
2006,10,2024-01-12,220
2007,12,2024-01-12,260
2008,15,2024-01-14,140
2009,18,2024-01-15,310
2010,21,2024-01-15,160
2011,22,2024-01-16,190
2012,24,2024-01-16,250
2013,25,2024-01-17,170
2014,28,2024-01-18,290
2015,30,2024-01-19,210
2016,31,2024-01-20,130
2017,34,2024-01-17,270
2018,36,2024-01-18,240
2019,38,2024-01-19,300
2020,40,2024-01-20,320
